filename,distance_km,elevation_gain,elevation_loss,max_elevation,min_elevation,max_slope,mean_slope,pct_over_30,pct_over_40,pct_over_45,mean_aspect,rugosity_mean,exposed_pct,difficulty
Betesa - Santorens - Pallerol - Betesa,10.51,698.0,796.0,1153.0,884.0,63.73,7.47,0.09,0.05,0.04,205.3,10.15,0.0,moderado
Boca Chavao,0.66,97.0,189.0,2101.0,2005.0,70.91,11.79,0.22,0.17,0.17,216.64,16.61,0.0,alpinismo ligero
Bois du Chapitre,5.1,261.0,173.0,343.0,218.0,64.82,5.28,0.02,0.02,0.02,90.04,6.94,0.0,moderado
Borda de Mateu,18.44,1938.0,1938.0,1394.0,668.0,84.68,6.77,0.1,0.08,0.07,289.17,9.5,0.0,difícil
Bordes de BossÃ²st,10.58,1450.0,1463.0,1183.0,689.0,83.3,7.79,0.11,0.1,0.09,246.18,10.71,0.0,alta montaña
Bordes de Cardedo,6.11,815.0,846.0,1603.0,1244.0,77.85,8.27,0.14,0.1,0.08,9.78,10.96,0.0,difícil
BorÃ©n-Ã€rreu,3.38,419.0,419.0,1368.0,1106.0,79.92,8.01,0.13,0.09,0.08,326.24,10.91,0.0,difícil
Bosquet de PuigcerdÃ  llac de Torniquet,5.68,117.0,98.0,1234.0,1180.0,41.62,2.07,0.01,0.01,0.0,245.9,2.6,0.0,sendero fácil
Boucle dans la vallÃ©e du Larboust et la VallÃ©e d'Oueil,17.01,1348.0,1592.0,1389.0,932.0,81.25,8.04,0.11,0.07,0.06,107.5,10.74,0.0,alta montaña
Boucle de Bals,1.22,203.0,175.0,1119.0,973.0,79.43,10.52,0.18,0.14,0.12,95.35,15.88,0.0,alta montaña
Boucle de la chapelle de l'isard,23.89,2221.0,2758.0,1886.0,837.0,87.19,8.44,0.12,0.09,0.09,157.59,11.78,0.0,alpinismo ligero
Boucle de la Chapelle,3.85,492.0,504.0,1146.0,930.0,81.94,10.94,0.17,0.14,0.13,323.09,15.33,0.0,alpinismo ligero
Boucle de Saint-Hilaire,7.24,317.0,317.0,284.0,150.0,65.98,4.37,0.04,0.02,0.02,162.51,5.88,0.0,moderado
Boucle des etangs du Carlit (variante 9 lacs),7.88,302.0,384.0,2245.0,2039.0,72.87,3.99,0.04,0.02,0.01,332.88,5.35,0.0,difícil
Boucle des Fontaines,3.43,146.0,149.0,315.0,250.0,68.76,4.24,0.05,0.02,0.02,113.24,5.63,0.0,moderado
Boucle du Pic de la PÃ¨ne,1.93,343.0,343.0,895.0,741.0,80.58,10.89,0.17,0.12,0.11,173.15,13.84,0.0,alta montaña
Brez - Canal de las Arredondas,4.97,581.0,581.0,981.0,775.0,82.32,7.69,0.12,0.08,0.07,348.05,10.74,0.0,difícil
Brookside-McCurdy Trail,48.14,3573.0,3315.0,3626.0,2464.0,86.58,7.01,0.09,0.07,0.06,153.65,9.3,0.0,alpinismo ligero
Buferrera-Ordiales,11.5,1176.0,510.0,1724.0,1038.0,83.21,4.53,0.07,0.06,0.05,201.16,6.33,0.0,difícil
BÃ©ixec - Estana - Pla de l'Ã€liga,10.63,968.0,968.0,1584.0,1283.0,77.48,7.38,0.1,0.08,0.06,27.11,10.08,0.0,difícil
Camin Reiau - Etapa 1,15.7,1091.0,806.0,1353.0,975.0,79.52,5.06,0.05,0.03,0.02,78.27,6.85,0.0,difícil
Camin Reiau - Etapa 2,12.57,1016.0,622.0,1881.0,1261.0,81.02,4.95,0.07,0.04,0.04,55.06,6.77,0.0,difícil
Camin Reiau - Etapa 3,16.51,1183.0,1684.0,1899.0,1152.0,84.51,6.08,0.09,0.07,0.05,239.36,8.42,0.0,difícil
Camin Reiau - Etapa 4,17.5,896.0,999.0,1259.0,953.0,79.52,5.64,0.05,0.04,0.02,318.53,7.66,0.0,difícil
Camin Reiau - Etapa 5,16.15,2001.0,1777.0,1317.0,863.0,83.5,7.87,0.11,0.08,0.08,257.96,10.92,0.0,alpinismo ligero
Camin Reiau - Etapa 6,12.52,1050.0,1679.0,1395.0,635.0,86.56,6.43,0.09,0.07,0.06,329.05,8.89,0.0,difícil
Camin Reiau - Etapa 7,22.46,2756.0,2670.0,1269.0,618.0,85.57,8.83,0.14,0.11,0.1,197.43,12.21,0.0,alpinismo ligero
Camin Reiau - Etapa 8,18.84,1756.0,1501.0,1151.0,715.0,84.96,6.76,0.09,0.07,0.05,140.58,9.43,0.0,difícil
Camin Reiau - Variant Canejan,26.78,3852.0,3845.0,1390.0,603.0,84.74,11.84,0.17,0.12,0.11,232.3,15.71,0.0,alpinismo ligero
Camino Benasque-Cerler,4.27,553.0,507.0,1510.0,1146.0,76.04,7.89,0.12,0.1,0.09,279.82,10.72,0.0,difícil
Camino de Ampriu al Pico Cerler,2.24,510.0,54.0,2383.0,1901.0,81.39,7.92,0.13,0.09,0.09,313.63,11.12,0.0,alta montaña
Camino de Chasna,72.01,4108.0,3908.0,2442.0,454.0,85.47,5.68,0.08,0.06,0.05,189.73,7.75,0.0,alta montaña
Camino de La Ball,3.05,177.0,75.0,1272.0,1148.0,48.5,3.94,0.04,0.03,0.02,44.77,5.26,0.0,sendero fácil
Camino de la CabaÃ±era,4.73,447.0,467.0,1540.0,1419.0,73.69,8.67,0.14,0.11,0.08,158.73,12.41,0.0,difícil
Camino de la Coma,9.74,1672.0,1052.0,1909.0,1251.0,79.74,8.71,0.13,0.11,0.1,323.47,12.19,0.0,alta montaña
Camino de la MontaÃ±a: Denuy - Bordas d'es Plans,7.34,1190.0,1311.0,1606.0,1298.0,75.2,14.97,0.23,0.16,0.14,199.0,20.17,0.0,alta montaña
Camino de los Olivos Centenarios,6.71,240.0,240.0,468.0,307.0,77.28,4.25,0.04,0.03,0.01,299.96,5.79,0.0,moderado
Camino del Correo,11.52,1093.0,791.0,1506.0,919.0,70.22,8.39,0.1,0.07,0.05,338.03,11.35,0.0,difícil
Camino del Pescado - Pantano,7.19,608.0,616.0,638.0,415.0,76.22,6.37,0.1,0.07,0.05,202.79,8.87,0.0,difícil
Camino del Rigau,2.32,401.0,335.0,1305.0,1148.0,74.27,10.03,0.16,0.12,0.12,41.08,14.24,0.0,alta montaña
Camino Vadiniense,153.49,9845.0,9410.0,1790.0,300.0,82.66,6.95,0.09,0.06,0.04,224.57,9.47,0.0,alta montaña
Camins miners i contrabandistes,4.55,675.0,1030.0,1019.0,616.0,84.74,14.39,0.23,0.18,0.16,270.12,19.11,0.0,alpinismo ligero
CampdevÃ nol-Ripoll pel camÃ­ ral,10.06,508.0,508.0,809.0,688.0,82.47,4.61,0.05,0.04,0.04,246.19,6.42,0.0,difícil
Camprodon ruta per la carena de Serra Cavallera,20.76,1873.0,1861.0,1885.0,949.0,79.45,7.95,0.11,0.08,0.06,311.17,10.58,0.0,difícil
CamÃ­ de Boscalt,3.96,269.0,163.0,1478.0,1344.0,58.5,5.85,0.06,0.03,0.03,171.01,7.86,0.0,moderado
CamÃ­ de la Freita,8.24,677.0,665.0,1186.0,647.0,68.33,6.82,0.1,0.05,0.04,154.57,8.72,0.0,moderado
CamÃ­ de l'Aigua,28.35,1949.0,2570.0,1502.0,824.0,84.91,5.31,0.07,0.06,0.06,193.6,7.42,0.0,difícil
CamÃ­ de les Veus del Pamano,6.28,690.0,911.0,1525.0,1194.0,82.85,6.43,0.1,0.09,0.08,163.2,9.07,0.0,alta montaña
CamÃ­ de l'Ossa,31.92,3976.0,3609.0,2841.0,1251.0,83.52,8.09,0.12,0.09,0.08,64.61,11.15,0.0,alpinismo ligero
CamÃ­ de l'Ãšltim CÃ tar,223.11,20492.0,20811.0,2529.0,473.0,88.4,7.08,0.1,0.08,0.07,357.88,9.72,0.0,alta montaña
CamÃ­ de Picasso,58.26,5599.0,5306.0,2418.0,733.0,84.88,6.57,0.09,0.07,0.06,306.14,9.04,0.0,alta montaña
CamÃ­ de Rus,18.94,2588.0,2036.0,2608.0,1440.0,87.82,5.08,0.07,0.07,0.07,107.96,7.22,0.0,alta montaña
CamÃ­ del Llobregat,187.0,9490.0,10871.0,1381.0,-6.0,81.52,5.18,0.07,0.04,0.04,182.28,7.14,0.0,alta montaña
CamÃ­ del sol,31.23,3634.0,3634.0,2629.0,1248.0,83.41,9.14,0.13,0.09,0.08,235.51,12.22,0.0,alpinismo ligero
CamÃ­ dels bons homes - Catalunya,100.53,10809.0,9780.0,2501.0,809.0,86.44,7.58,0.11,0.08,0.07,341.37,10.43,0.0,alpinismo ligero
CamÃ­ dels bons homes - FranÃ§a,88.05,7795.0,8606.0,2517.0,822.0,85.23,8.28,0.11,0.08,0.07,346.05,11.36,0.0,alpinismo ligero
CamÃ­ Natural de les Mines de la Ribera de l'Urgellet,17.6,1242.0,1242.0,1200.0,627.0,81.68,6.55,0.09,0.07,0.06,74.1,9.12,0.0,difícil
CamÃ­ Natural de Sort i la Vall d'Ã€ssua,21.45,3356.0,1915.0,2143.0,700.0,86.65,5.88,0.09,0.07,0.07,335.83,8.22,0.0,alta montaña
CamÃ­ Natural del Port de Vielha,18.43,2279.0,1678.0,2465.0,1016.0,87.2,6.34,0.09,0.08,0.07,172.46,8.65,0.0,alta montaña
CamÃ­ Oliba. Variant Rajols - Sant Joan de les Abadesses,51.84,5299.0,5598.0,1529.0,770.0,85.09,6.36,0.1,0.08,0.07,331.54,8.77,0.0,alta montaña
CamÃ­ Oliba,244.36,17166.0,16329.0,1627.0,165.0,86.09,5.63,0.07,0.05,0.04,19.41,7.76,0.0,alta montaña
CamÃ­ Ramader de Marina,859.05,24037.0,24063.0,1926.0,0.0,84.54,4.94,0.06,0.04,0.03,3.72,6.78,0.0,difícil
CamÃ­ Vell de Montsor,14.21,1692.0,1692.0,1242.0,533.0,87.19,4.27,0.06,0.06,0.05,203.03,6.02,0.0,difícil
Canal de Camburero,10.91,819.0,308.0,1950.0,537.0,85.2,2.62,0.04,0.03,0.03,171.52,3.62,0.0,difícil
Canal de la Espartera - Arenales del Trevenque,12.69,1561.0,1561.0,1748.0,1238.0,81.67,9.73,0.14,0.11,0.1,303.62,13.13,0.0,alta montaña
Candeleda-Puerto de Candeleda-Laguna Grande,21.83,3116.0,1600.0,2257.0,430.0,85.3,6.75,0.1,0.08,0.07,347.71,9.41,0.0,alta montaña
Candeleda-Puerto de Candeleda-Plataforma,18.35,2674.0,1331.0,2014.0,429.0,85.67,6.94,0.1,0.09,0.08,2.99,9.67,0.0,alpinismo ligero
Carros de Foc Plus,24.06,2728.0,2153.0,2742.0,1631.0,87.09,6.68,0.09,0.08,0.07,273.43,8.94,0.0,alta montaña
Carros de Foc,54.24,6453.0,6537.0,2741.0,1889.0,87.54,6.45,0.1,0.07,0.07,112.55,8.8,0.0,alta montaña
Cascade d'Ars,12.06,1871.0,1171.0,1874.0,770.0,84.67,7.81,0.12,0.1,0.09,75.79,10.97,0.0,alta montaña
Cascade de Planque,3.77,656.0,653.0,771.0,497.0,67.87,14.71,0.22,0.13,0.12,300.54,18.32,0.0,difícil
CastejÃ³n de Sos - ArasÃ¡n - Liri - Sos - CastejÃ³n de Sos,10.09,720.0,720.0,1332.0,903.0,79.81,6.13,0.07,0.06,0.05,233.82,8.47,0.0,difícil
CastejÃ³n de Sos - Bisaurri - Urmella - ArasÃ¡n,8.99,899.0,574.0,1372.0,922.0,67.45,8.05,0.1,0.06,0.04,35.36,10.82,0.0,moderado
CastellbÃ²-Sendes-Solanell,18.34,2004.0,1549.0,1286.0,800.0,85.71,6.03,0.09,0.07,0.06,338.82,8.16,0.0,alta montaña
Cava Tossal de Bades Querforadat,7.01,819.0,797.0,1612.0,1299.0,81.75,9.69,0.17,0.11,0.07,275.77,13.45,0.0,difícil
Cavalls del Vent,75.66,10397.0,10397.0,2526.0,910.0,86.59,9.2,0.14,0.11,0.09,113.65,12.55,0.0,alpinismo ligero
CaÃ±ada Real de Sierra Nevada,2.9,248.0,59.0,3068.0,2879.0,16.12,5.15,0.0,0.0,0.0,29.88,5.22,0.0,moderado
CDT - Colorado Section,1174.03,74171.0,74498.0,4339.0,2461.0,86.13,7.63,0.07,0.04,0.03,355.76,9.43,0.0,alpinismo ligero
CDT ilgST,34.85,1509.0,2150.0,3642.0,2958.0,60.62,7.07,0.05,0.03,0.01,343.76,8.79,0.0,difícil
CDT in-xx Misc Old Route Alternates,114.0,3669.0,3906.0,3707.0,2808.0,58.9,7.07,0.04,0.01,0.01,27.35,8.32,0.0,difícil
Chafari,12.23,1268.0,897.0,2782.0,2034.0,85.25,4.38,0.05,0.05,0.04,186.32,5.88,0.0,alta montaña
ChafarÃ­ Spur trail,0.46,14.0,1.0,2053.0,2039.0,11.56,1.38,0.0,0.0,0.0,247.58,1.76,0.0,sendero fácil
Chalet des Pyramides,4.33,1350.0,609.0,1866.0,1125.0,86.72,10.18,0.16,0.14,0.13,142.83,14.18,0.0,alpinismo ligero
Chalet du Chapeau,6.09,1253.0,814.0,1610.0,1089.0,84.99,7.23,0.11,0.09,0.08,122.58,9.85,0.0,alta montaña
Chamonix-Zermatt Walker's route,202.54,30639.0,29835.0,2988.0,719.0,88.96,6.61,0.1,0.08,0.07,80.44,9.18,0.0,alta montaña
Chavao,7.89,239.0,270.0,2110.0,2042.0,73.87,5.26,0.09,0.05,0.04,134.45,7.26,0.0,difícil
Chemin de GÃ©nat,5.41,291.0,749.0,990.0,487.0,79.93,6.33,0.1,0.08,0.06,33.11,8.72,0.0,difícil
Chemin des Cascades,1.89,332.0,334.0,1605.0,1431.0,85.36,8.58,0.14,0.13,0.1,216.85,11.65,0.0,alta montaña
Chemin des crÃªtes,8.03,215.0,153.0,334.0,234.0,53.9,2.86,0.02,0.01,0.01,334.74,3.88,0.0,sendero fácil
Chemin du Montenvers,4.07,699.0,1372.0,1899.0,1206.0,86.76,9.79,0.15,0.14,0.12,265.12,13.52,0.0,alta montaña
Chemin du PiÃ©mont PyrÃ©nÃ©en,16.97,895.0,805.0,618.0,383.0,84.36,4.69,0.05,0.03,0.02,230.89,6.39,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,26.99,591.0,433.0,276.0,102.0,63.54,2.4,0.01,0.01,0.01,261.78,3.21,0.0,moderado
Chemin du PiÃ©mont PyrÃ©nÃ©en,42.28,2121.0,2122.0,539.0,281.0,77.97,4.81,0.05,0.03,0.02,253.98,6.52,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,30.8,1577.0,1428.0,527.0,290.0,81.34,4.83,0.05,0.03,0.03,239.71,6.52,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,27.27,1535.0,1625.0,967.0,440.0,85.43,5.7,0.06,0.03,0.03,284.42,7.28,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,15.33,1452.0,1719.0,1206.0,486.0,78.02,9.53,0.14,0.07,0.06,301.3,12.52,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,21.15,2062.0,1709.0,931.0,510.0,84.08,7.58,0.1,0.06,0.05,276.38,10.32,0.0,alta montaña
Chemin du PiÃ©mont PyrÃ©nÃ©en,24.72,805.0,827.0,450.0,300.0,55.51,3.92,0.03,0.01,0.01,225.67,5.12,0.0,sendero fácil
Chemin du PiÃ©mont PyrÃ©nÃ©en,14.62,456.0,381.0,339.0,176.0,64.39,2.98,0.01,0.01,0.01,257.77,3.91,0.0,moderado
Chemin du PiÃ©mont PyrÃ©nÃ©en,19.96,1148.0,1095.0,623.0,457.0,71.77,5.07,0.06,0.04,0.03,277.59,6.78,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,33.9,1004.0,1022.0,435.0,257.0,69.92,3.25,0.03,0.01,0.01,279.83,4.38,0.0,moderado
Chemin du PiÃ©mont (variante),10.86,318.0,387.0,450.0,313.0,71.26,3.48,0.03,0.01,0.01,227.51,4.62,0.0,moderado
Chemin Vauban,92.17,7818.0,8389.0,1992.0,429.0,85.56,7.28,0.1,0.08,0.07,104.91,10.04,0.0,alta montaña
Circuit de la HÃ¨che,7.58,155.0,161.0,327.0,233.0,42.97,2.28,0.0,0.0,0.0,177.12,2.76,0.0,sendero fácil
Circuit des deux Fontaines de Sieuras,1.59,77.0,77.0,348.0,284.0,58.21,3.71,0.02,0.01,0.01,135.9,5.09,0.0,sendero fácil
Circuit du Bousquet,13.2,587.0,578.0,581.0,428.0,64.29,5.48,0.07,0.04,0.02,51.74,7.6,0.0,moderado
Circuit du Taus,13.77,1181.0,1258.0,1365.0,768.0,81.82,6.99,0.11,0.07,0.05,81.05,9.63,0.0,difícil
Circular de Bayacas,6.28,397.0,397.0,657.0,460.0,72.09,5.53,0.07,0.05,0.04,50.8,7.56,0.0,difícil
Circular de LanjaÃ³n,12.36,1527.0,1527.0,813.0,432.0,83.67,8.34,0.14,0.1,0.09,175.73,11.48,0.0,alta montaña
Circular Sierra DÃºrcal - La Esperanza,32.75,3247.0,3792.0,1951.0,760.0,88.16,7.16,0.1,0.08,0.07,261.59,9.88,0.0,alta montaña
Circular Val d'Aran,92.49,10343.0,10271.0,2698.0,606.0,88.3,7.96,0.11,0.09,0.07,169.76,10.96,0.0,alpinismo ligero
Circular Ã“rgiva-La Chuca-Rio Guadalfeo-Ã“rgiva,20.78,1195.0,1221.0,507.0,248.0,82.7,5.99,0.08,0.05,0.04,279.7,8.3,0.0,difícil
Cirque de la GlÃ¨re,18.7,1867.0,1841.0,1617.0,1023.0,83.92,9.98,0.16,0.13,0.11,60.21,13.56,0.0,alta montaña
Col de Gamel via Col de Foujoul,6.19,1045.0,920.0,1430.0,973.0,79.52,10.52,0.16,0.14,0.13,58.26,14.48,0.0,alta montaña
Col de Lastris,2.87,561.0,37.0,1428.0,904.0,69.97,9.06,0.12,0.08,0.04,161.74,10.35,0.0,moderado
Coll de Bauma,5.24,735.0,735.0,1641.0,1387.0,79.04,10.51,0.17,0.13,0.12,272.93,14.63,0.0,alta montaña
"Coll de Serreres, Vilaller",7.84,1230.0,1019.0,1439.0,981.0,82.49,9.84,0.15,0.11,0.1,86.6,13.43,0.0,alta montaña
Coll de Setfons,3.86,829.0,73.0,2184.0,1428.0,79.29,10.0,0.17,0.12,0.09,46.82,13.36,0.0,alta montaña
Coll d'Eruga - Coll de CristiÃ ,7.05,834.0,805.0,1612.0,1292.0,81.75,9.9,0.17,0.11,0.07,86.25,13.63,0.0,difícil
Collado Jermoso,4.88,1080.0,301.0,1712.0,841.0,85.65,5.74,0.08,0.06,0.06,69.37,8.01,0.0,difícil
Collegiate East,138.16,7604.0,8096.0,3638.0,2503.0,82.38,7.4,0.04,0.02,0.01,354.54,8.17,0.0,alpinismo ligero
Collegiate West,158.65,10366.0,9551.0,3844.0,2806.0,79.39,8.28,0.06,0.03,0.02,160.99,9.86,0.0,alta montaña
Colls de Sant Roc. Adons,15.18,1731.0,1954.0,1500.0,905.0,86.36,5.74,0.08,0.07,0.07,31.68,8.0,0.0,difícil
Colorado Trail Seg. 10 Hagerman Pass Road to Halfmoon Creek,17.59,1017.0,931.0,3458.0,3077.0,43.41,6.99,0.03,0.01,0.0,355.49,7.67,0.0,difícil
Colorado Trail Seg. 11 Half Moon Creek to Clear Creek Road,42.61,2036.0,1689.0,3258.0,2725.0,68.95,6.21,0.03,0.01,0.01,319.56,6.9,0.0,difícil
Colorado Trail Seg. 12 Clear Creek to North Cottonwood Creek Road,58.82,2378.0,2464.0,3620.0,2712.0,46.82,7.3,0.02,0.0,0.0,343.27,7.29,0.0,difícil
Colorado Trail Seg. 9 Tennessee Pass to Hagerman Pass Road,23.81,1472.0,1452.0,3579.0,3070.0,67.13,7.51,0.04,0.02,0.02,34.11,8.89,0.0,difícil
Colorado Trail,287.09,15695.0,16852.0,3820.0,1676.0,85.5,7.2,0.05,0.02,0.02,66.16,8.76,0.0,alpinismo ligero
Comabona des del Coll de Bauma per la Pleta de Guilla,11.23,1966.0,1966.0,2514.0,1631.0,86.65,6.63,0.1,0.08,0.08,335.6,9.31,0.0,alpinismo ligero
Congost de Collegats,9.32,1154.0,1248.0,807.0,553.0,87.37,4.34,0.06,0.05,0.05,214.34,5.94,0.0,difícil
Cornellana,8.2,1041.0,1041.0,1825.0,1231.0,79.73,7.94,0.11,0.07,0.07,335.59,10.94,0.0,difícil
Coves de la Fou Empedrats de Bor Mirador Cap de Ras,12.45,1190.0,1197.0,1729.0,1089.0,81.3,6.88,0.11,0.08,0.07,189.98,9.35,0.0,difícil
Cresta del Besiberri,2.32,376.0,232.0,2979.0,2767.0,83.01,5.07,0.07,0.07,0.06,190.58,7.34,0.0,alta montaña
Cuevas Negras,2.19,127.0,67.0,2214.0,2089.0,68.17,5.85,0.06,0.03,0.01,161.69,6.1,0.0,moderado
Cumbres de Ucanca,16.87,1394.0,1492.0,2462.0,2130.0,84.08,7.12,0.11,0.1,0.09,42.27,9.97,0.0,alta montaña
Dans les estives et les vieux villages,20.24,2614.0,2415.0,1721.0,874.0,78.69,9.39,0.15,0.12,0.1,55.67,12.55,0.0,alta montaña
D'Aurignac Ã  Gourdan,69.58,2040.0,1996.0,525.0,261.0,65.89,3.7,0.03,0.02,0.01,236.23,4.81,0.0,moderado
De Gourdan Ã  Saint-PÃ©-d'Ardet,37.6,1482.0,1303.0,650.0,415.0,85.43,3.77,0.03,0.01,0.01,131.26,4.98,0.0,difícil
De la CathÃ©drale au chemin de la Coque et du Vila,10.96,386.0,377.0,307.0,212.0,69.36,4.93,0.06,0.02,0.02,285.13,6.55,0.0,moderado
De la cathÃ©drale au Village Gaulois,28.12,389.0,393.0,265.0,213.0,77.87,3.96,0.05,0.04,0.03,224.2,5.44,0.0,moderado
"De la Manche aux PyrÃ©nÃ©es 24, Sournia - Bourg-Madame",130.31,14924.0,14322.0,2427.0,238.0,87.05,7.97,0.12,0.09,0.08,227.53,11.0,0.0,alpinismo ligero
De Marc Ã  l'Artigue,6.56,866.0,771.0,1323.0,1041.0,86.65,11.78,0.19,0.15,0.12,237.5,16.14,0.0,alpinismo ligero
De Saint-PÃ©-d'Ardet Ã  BagnÃ¨res-de-Luchon,47.2,5027.0,5009.0,1214.0,502.0,82.87,8.53,0.12,0.09,0.08,187.38,11.55,0.0,alpinismo ligero
De Sainte-Foy Ã  Aurignac,73.89,2150.0,2024.0,447.0,234.0,68.35,3.51,0.02,0.0,0.0,218.73,4.54,0.0,moderado
De Setcases a Vilallonga de Ter,14.37,2060.0,2282.0,1633.0,1061.0,83.48,9.33,0.13,0.11,0.11,156.28,12.86,0.0,alpinismo ligero
De Valencia a Lisboa (Etapa 33),27.2,1154.0,1051.0,1586.0,1223.0,59.89,4.54,0.04,0.01,0.01,235.31,6.13,0.0,moderado
De Valencia a Lisboa (Etapa 34),18.41,1027.0,1168.0,1465.0,1275.0,73.6,5.62,0.05,0.03,0.02,275.12,7.6,0.0,difícil
Degollada de Guajara - Parador de las CaÃ±adas del Teide,5.29,173.0,157.0,2215.0,2126.0,67.73,3.58,0.05,0.03,0.03,25.19,5.0,0.0,moderado
Degollada de Guajara,1.25,238.0,71.0,2372.0,2185.0,84.18,4.34,0.06,0.06,0.05,142.07,5.93,0.0,difícil
Del Pont de Bar Nou als Arenys,7.26,676.0,617.0,942.0,840.0,65.14,10.95,0.16,0.09,0.06,115.37,14.27,0.01,difícil
DemuÃ©s - Los Lagos,24.73,1901.0,1591.0,1157.0,418.0,81.01,6.32,0.1,0.08,0.06,4.63,8.8,0.0,difícil
